ListID,Treatment,IsTestData,IsReplacement,RandomizationSequence,PatientID,ReplacementPatientID,CenterID,TreatmentID,Block,Cohort
1,PT00114,1,0,6001,,,,1,1,1
1,PT00114,1,0,6002,,,,1,1,1
1,Placebo,1,0,6003,,,,6,1,1
1,PT00114,1,0,6004,,,,1,1,1
1,Placebo,1,0,6005,,,,6,1,1
1,PT00114,1,0,6006,,,,1,1,1
1,PT00114,1,0,6007,,,,1,2,1
1,PT00114,1,0,6008,,,,1,2,1
1,Placebo,1,0,6009,,,,6,2,1
1,PT00114,1,0,6010,,,,1,2,1
1,Placebo,1,0,6011,,,,6,2,1
1,PT00114,1,0,6012,,,,1,2,1
1,PT00114,1,0,6013,,,,2,3,2
1,PT00114,1,0,6014,,,,2,3,2
1,Placebo,1,0,6015,,,,6,3,2
1,Placebo,1,0,6016,,,,6,3,2
1,PT00114,1,0,6017,,,,2,3,2
1,PT00114,1,0,6018,,,,2,3,2
1,PT00114,1,0,6019,,,,2,4,2
1,PT00114,1,0,6020,,,,2,4,2
1,PT00114,1,0,6021,,,,2,4,2
1,Placebo,1,0,6022,,,,6,4,2
1,Placebo,1,0,6023,,,,6,4,2
1,PT00114,1,0,6024,,,,2,4,2
1,PT00114,1,0,6025,,,,3,5,3
1,Placebo,1,0,6026,,,,6,5,3
1,PT00114,1,0,6027,,,,3,5,3
1,PT00114,1,0,6028,,,,3,5,3
1,Placebo,1,0,6029,,,,6,5,3
1,PT00114,1,0,6030,,,,3,5,3
1,PT00114,1,0,6031,,,,3,6,3
1,PT00114,1,0,6032,,,,3,6,3
1,Placebo,1,0,6033,,,,6,6,3
1,PT00114,1,0,6034,,,,3,6,3
1,Placebo,1,0,6035,,,,6,6,3
1,PT00114,1,0,6036,,,,3,6,3
1,PT00114,1,0,6037,,,,4,7,4
1,Placebo,1,0,6038,,,,6,7,4
1,PT00114,1,0,6039,,,,4,7,4
1,Placebo,1,0,6040,,,,6,7,4
1,PT00114,1,0,6041,,,,4,7,4
1,PT00114,1,0,6042,,,,4,7,4
1,PT00114,1,0,6043,,,,4,8,4
1,PT00114,1,0,6044,,,,4,8,4
1,PT00114,1,0,6045,,,,4,8,4
1,PT00114,1,0,6046,,,,4,8,4
1,Placebo,1,0,6047,,,,6,8,4
1,Placebo,1,0,6048,,,,6,8,4
1,PT00114,1,0,6049,,,,5,9,5
1,PT00114,1,0,6050,,,,5,9,5
1,PT00114,1,0,6051,,,,5,9,5
1,Placebo,1,0,6052,,,,6,9,5
1,Placebo,1,0,6053,,,,6,9,5
1,PT00114,1,0,6054,,,,5,9,5
1,PT00114,1,0,6055,,,,5,10,5
1,PT00114,1,0,6056,,,,5,10,5
1,PT00114,1,0,6057,,,,5,10,5
1,PT00114,1,0,6058,,,,5,10,5
1,Placebo,1,0,6059,,,,6,10,5
1,Placebo,1,0,6060,,,,6,10,5
1,PT00114,1,0,6061,,,,1,11,1
1,PT00114,1,0,6062,,,,1,11,1
1,PT00114,1,0,6063,,,,1,11,1
1,PT00114,1,0,6064,,,,1,11,1
1,Placebo,1,0,6065,,,,6,11,1
1,Placebo,1,0,6066,,,,6,11,1
1,PT00114,1,0,6067,,,,1,12,1
1,Placebo,1,0,6068,,,,6,12,1
1,Placebo,1,0,6069,,,,6,12,1
1,PT00114,1,0,6070,,,,1,12,1
1,PT00114,1,0,6071,,,,1,12,1
1,PT00114,1,0,6072,,,,1,12,1
1,PT00114,1,0,6073,,,,2,13,2
1,PT00114,1,0,6074,,,,2,13,2
1,PT00114,1,0,6075,,,,2,13,2
1,Placebo,1,0,6076,,,,6,13,2
1,PT00114,1,0,6077,,,,2,13,2
1,Placebo,1,0,6078,,,,6,13,2
1,PT00114,1,0,6079,,,,2,14,2
1,PT00114,1,0,6080,,,,2,14,2
1,PT00114,1,0,6081,,,,2,14,2
1,Placebo,1,0,6082,,,,6,14,2
1,PT00114,1,0,6083,,,,2,14,2
1,Placebo,1,0,6084,,,,6,14,2
1,PT00114,1,0,6085,,,,3,15,3
1,PT00114,1,0,6086,,,,3,15,3
1,Placebo,1,0,6087,,,,6,15,3
1,PT00114,1,0,6088,,,,3,15,3
1,Placebo,1,0,6089,,,,6,15,3
1,PT00114,1,0,6090,,,,3,15,3
1,PT00114,1,0,6091,,,,3,16,3
1,Placebo,1,0,6092,,,,6,16,3
1,PT00114,1,0,6093,,,,3,16,3
1,PT00114,1,0,6094,,,,3,16,3
1,Placebo,1,0,6095,,,,6,16,3
1,PT00114,1,0,6096,,,,3,16,3
1,Placebo,1,0,6097,,,,6,17,4
1,PT00114,1,0,6098,,,,4,17,4
1,PT00114,1,0,6099,,,,4,17,4
1,PT00114,1,0,6100,,,,4,17,4
1,PT00114,1,0,6101,,,,4,17,4
1,Placebo,1,0,6102,,,,6,17,4
1,PT00114,1,0,6103,,,,4,18,4
1,Placebo,1,0,6104,,,,6,18,4
1,Placebo,1,0,6105,,,,6,18,4
1,PT00114,1,0,6106,,,,4,18,4
1,PT00114,1,0,6107,,,,4,18,4
1,PT00114,1,0,6108,,,,4,18,4
1,PT00114,1,0,6109,,,,5,19,5
1,Placebo,1,0,6110,,,,6,19,5
1,PT00114,1,0,6111,,,,5,19,5
1,PT00114,1,0,6112,,,,5,19,5
1,PT00114,1,0,6113,,,,5,19,5
1,Placebo,1,0,6114,,,,6,19,5
1,Placebo,1,0,6115,,,,6,20,5
1,Placebo,1,0,6116,,,,6,20,5
1,PT00114,1,0,6117,,,,5,20,5
1,PT00114,1,0,6118,,,,5,20,5
1,PT00114,1,0,6119,,,,5,20,5
1,PT00114,1,0,6120,,,,5,20,5
